Date,Number of reported results
2022/1/7,80630
2022/1/8,101503
2022/1/9,91477
2022/1/10,107134
2022/1/11,153880
2022/1/12,137586
2022/1/13,132726
2022/1/14,169484
2022/1/15,205880
2022/1/16,209609
2022/1/17,222197
2022/1/18,220950
2022/1/19,280622
2022/1/20,243964
2022/1/21,273727
2022/1/22,241489
2022/1/23,269929
2022/1/24,258038
2022/1/25,276404
2022/1/26,302348
2022/1/27,331844
2022/1/28,296968
2022/1/29,313220
2022/1/30,294687
2022/1/31,341314
2022/2/1,351663
2022/2/2,361908
2022/2/3,358176
2022/2/4,359679
2022/2/5,319698
2022/2/6,311018
2022/2/7,288228
2022/2/8,336236
2022/2/9,305372
2022/2/10,304830
2022/2/11,278826
2022/2/12,269885
2022/2/13,277471
2022/2/14,261521
2022/2/15,287836
2022/2/16,289721
2022/2/17,342003
2022/2/18,265238
2022/2/19,282327
2022/2/20,273306
2022/2/21,278731
2022/2/22,306356
2022/2/23,277576
2022/2/24,250674
2022/2/25,255907
2022/2/26,248363
2022/2/27,250413
2022/2/28,251094
2022/3/1,240137
2022/3/2,257304
2022/3/3,240018
2022/3/4,203730
2022/3/5,229895
2022/3/6,218595
2022/3/7,218595
2022/3/8,207473
2022/3/9,201799
2022/3/10,208884
2022/3/11,226349
2022/3/12,192049
2022/3/13,179436
2022/3/14,185406
2022/3/15,202855
2022/3/16,217856
2022/3/17,169071
2022/3/18,179830
2022/3/19,156311
2022/3/20,154987
2022/3/21,173636
2022/3/22,160161
2022/3/23,156785
2022/3/24,169066
2022/3/25,150197
2022/3/26,149507
2022/3/27,165468
2022/3/28,173696
2022/3/29,149070
2022/3/30,158139
2022/3/31,135219
2022/4/1,144648
2022/4/2,155079
2022/4/3,124532
2022/4/4,129651
2022/4/5,121356
2022/4/6,117856
2022/4/7,117761
2022/4/8,141158
2022/4/9,134210
2022/4/10,126241
2022/4/11,109828
2022/4/12,114907
2022/4/13,123255
2022/4/14,113448
2022/4/15,129991
2022/4/16,107987
2022/4/17,106681
2022/4/18,112383
2022/4/19,108899
2022/4/20,102007
2022/4/21,97955
2022/4/22,119232
2022/4/23,95562
2022/4/24,97452
2022/4/25,91548
2022/4/26,103153
2022/4/27,98967
2022/4/28,88974
2022/4/29,106652
2022/4/30,77991
2022/5/1,77658
2022/5/2,95643
2022/5/3,85817
2022/5/4,107750
2022/5/5,85979
2022/5/6,76292
2022/5/7,74458
2022/5/8,72518
2022/5/9,88932
2022/5/10,74412
2022/5/11,79446
2022/5/12,75673
2022/5/13,77585
2022/5/14,73225
2022/5/15,67115
2022/5/16,68349
2022/5/17,70722
2022/5/18,73933
2022/5/19,70920
2022/5/20,69884
2022/5/21,66814
2022/5/22,67909
2022/5/23,66431
2022/5/24,63380
2022/5/25,62723
2022/5/26,63188
2022/5/27,63846
2022/5/28,60069
2022/5/29,56839
2022/5/30,60969
2022/5/31,62768
2022/6/1,63241
2022/6/2,61278
2022/6/3,65431
2022/6/4,58263
2022/6/5,56738
2022/6/6,58478
2022/6/7,58991
2022/6/8,61026
2022/6/9,60020
2022/6/10,55376
2022/6/11,51958
2022/6/12,56684
2022/6/13,53802
2022/6/14,59968
2022/6/15,55989
2022/6/16,53430
2022/6/17,54665
2022/6/18,47205
2022/6/19,55359
2022/6/20,50484
2022/6/21,53342
2022/6/22,47645
2022/6/23,53111
2022/6/24,50617
2022/6/25,46089
2022/6/26,50450
2022/6/27,47986
2022/6/28,47312
2022/6/29,45645
2022/6/30,44212
2022/7/1,47248
2022/7/2,41765
2022/7/3,40486
2022/7/4,42645
2022/7/5,44578
2022/7/6,47344
2022/7/7,43407
2022/7/8,42806
2022/7/9,47094
2022/7/10,41785
2022/7/11,40545
2022/7/12,46910
2022/7/13,46246
2022/7/14,40549
2022/7/15,39234
2022/7/16,38769
2022/7/17,39611
2022/7/18,42574
2022/7/19,39667
2022/7/20,42237
2022/7/21,39086
2022/7/22,43099
2022/7/23,36769
2022/7/24,39813
2022/7/25,39228
2022/7/26,39171
2022/7/27,38384
2022/7/28,40650
2022/7/29,37791
2022/7/30,37353
2022/7/31,39250
2022/8/1,36662
2022/8/2,34909
2022/8/3,38381
2022/8/4,37229
2022/8/5,37350
2022/8/6,38841
2022/8/7,36223
2022/8/8,35516
2022/8/9,36223
2022/8/10,37654
2022/8/11,37301
2022/8/12,34198
2022/8/13,35276
2022/8/14,31652
2022/8/15,35376
2022/8/16,35105
2022/8/17,35815
2022/8/18,34938
2022/8/19,33965
2022/8/20,38245
2022/8/21,35617
2022/8/22,35888
2022/8/23,33549
2022/8/24,33700
2022/8/25,36737
2022/8/26,34716
2022/8/27,31241
2022/8/28,30214
2022/8/29,34281
2022/8/30,33660
2022/8/31,35343
2022/9/1,31903
2022/9/2,35724
2022/9/3,31191
2022/9/4,32018
2022/9/5,32733
2022/9/6,32734
2022/9/7,30992
2022/9/8,31962
2022/9/9,32172
2022/9/10,29237
2022/9/11,27887
2022/9/12,29147
2022/9/13,29497
2022/9/14,32142
2022/9/15,33344
2022/9/16,37309
2022/9/17,33418
2022/9/18,33102
2022/9/19,35050
2022/9/20,31277
2022/9/21,31976
2022/9/22,34455
2022/9/23,31509
2022/9/24,32777
2022/9/25,28994
2022/9/26,31706
2022/9/27,30985
2022/9/28,31355
2022/9/29,30477
2022/9/30,31223
2022/10/1,28202
2022/10/2,30088
2022/10/3,32288
2022/10/4,32014
2022/10/5,30935
2022/10/6,32522
