Date,Month,Day,,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/12/31,12,31,7,560,manly,20380,1899,0,2,17,37,29,12,2
2022/12/30,12,30,6,559,molar,21204,1973,0,4,21,38,26,9,1
2022/12/29,12,29,5,558,havoc,20001,1919,0,2,16,38,30,12,2
2022/12/28,12,28,4,557,impel,20160,1937,0,3,21,40,25,9,1
2022/12/27,12,27,3,556,condo,20879,2012,0,2,17,35,29,14,3
2022/12/26,12,26,2,555,judge,20011,2043,0,2,8,16,26,33,14
2022/12/25,12,25,1,554,extra,15554,1562,1,5,20,35,28,10,1
2022/12/24,12,24,7,553,poise,20281,1911,2,11,34,32,15,6,1
2022/12/23,12,23,6,552,aorta,21937,2112,0,7,26,35,20,10,3
2022/12/22,12,22,5,551,excel,20490,2034,0,1,13,34,34,15,2
2022/12/21,12,21,4,550,lunar,22180,2036,0,5,32,40,17,4,0
2022/12/20,12,20,3,549,third,24137,2261,1,10,47,32,9,2,0
2022/12/19,12,19,2,548,slate,26010,2422,6,14,33,27,13,5,1
2022/12/18,12,18,1,547,taper,22166,2108,0,8,28,30,20,11,3
2022/12/17,12,17,7,546,chord,22336,2088,0,7,39,38,13,3,0
2022/12/16,12,16,6,545,rprobe,22853,2160,0,6,24,32,24,11,3
2022/12/15,12,15,5,544,rival,22176,2127,0,7,27,35,22,8,1
2022/12/14,12,14,4,543,usual,20824,2048,0,3,20,39,27,10,1
2022/12/13,12,13,3,542,spoke,24101,2224,0,6,31,38,19,5,0
2022/12/12,12,12,2,541,apply,22873,2150,0,5,28,38,22,7,1
2022/12/11,12,11,1,540,naïve,21947,2075,1,7,24,32,24,11,1
2022/12/10,12,10,7,539,knock,21157,2041,0,3,18,43,27,8,1
2022/12/9,12,9,6,538,braid,23640,2165,0,10,36,35,14,3,0
2022/12/8,12,8,5,537,infer,21199,1863,0,3,19,33,26,14,3
2022/12/7,12,7,4,536,joust,24899,2388,0,6,29,34,21,8,2
