Date,isHoliday,Month,Day,WeekNum,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Average,Sigma,th,sh,ch,er,ing,ou,en,eu,ai,oe,kn,ph,fj,wr,qu,Collision
2022/12/31,0,12,31,7,560,manly,20380,1899,0,0.02,0.17,0.37,0.29,0.12,0.02,4.383838384,1.031886286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/30,0,12,30,6,559,molar,21204,1973,0,0.04,0.21,0.38,0.26,0.09,0.01,4.181818182,1.028518954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/29,0,12,29,5,558,havoc,20001,1919,0,0.02,0.16,0.38,0.3,0.12,0.02,4.4,1.019803903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/28,0,12,28,4,557,impel,20160,1937,0,0.03,0.21,0.4,0.25,0.09,0.01,4.191919192,1.001783941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/27,0,12,27,3,556,condo,20879,2012,0,0.02,0.17,0.35,0.29,0.14,0.03,4.45,1.080509139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/26,2,12,26,2,555,judge,20011,2043,0,0.02,0.08,0.16,0.26,0.33,0.14,5.232323232,1.229504974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/25,2,12,25,1,554,extra,15554,1562,0.01,0.05,0.2,0.35,0.28,0.1,0.01,4.18,1.107971119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/24,0,12,24,7,553,poise,20281,1911,0.02,0.11,0.34,0.32,0.15,0.06,0.01,3.683168317,1.151242919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/23,0,12,23,6,552,aorta,21937,2112,0,0.07,0.26,0.35,0.2,0.1,0.03,4.089108911,1.17817622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/22,0,12,22,5,551,excel,20490,2034,0,0.01,0.13,0.34,0.34,0.15,0.02,4.555555556,0.997190216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/21,0,12,21,4,550,lunar,22180,2036,0,0.05,0.32,0.4,0.17,0.04,0,3.826530612,0.915016563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/20,0,12,20,3,549,third,24137,2261,0.01,0.1,0.47,0.32,0.09,0.02,0,3.435643564,0.894602535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/19,0,12,19,2,548,slate,26010,2422,0.06,0.14,0.33,0.27,0.13,0.05,0.01,3.464646465,1.257808992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/18,0,12,18,1,547,taper,22166,2108,0,0.08,0.28,0.3,0.2,0.11,0.03,4.07,1.226825171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/12/17,0,12,17,7,546,chord,22336,2088,0,0.07,0.39,0.38,0.13,0.03,0,3.66,0.896883493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/16,0,12,16,6,545,rprobe,22853,2160,0,0.06,0.24,0.32,0.24,0.11,0.03,4.19,1.180635422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/15,0,12,15,5,544,rival,22176,2127,0,0.07,0.27,0.35,0.22,0.08,0.01,4,1.086278049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/14,0,12,14,4,543,usual,20824,2048,0,0.03,0.2,0.39,0.27,0.1,0.01,4.24,1.011137973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/13,0,12,13,3,542,spoke,24101,2224,0,0.06,0.31,0.38,0.19,0.05,0,3.858585859,0.964104242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/12,0,12,12,2,541,apply,22873,2150,0,0.05,0.28,0.38,0.22,0.07,0.01,4.00990099,1.029226851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/11,0,12,11,1,540,naive,21947,2075,0.01,0.07,0.24,0.32,0.24,0.11,0.01,4.08,1.172006826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/10,0,12,10,7,539,knock,21157,2041,0,0.03,0.18,0.43,0.27,0.08,0.01,4.22,0.965194281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2022/12/9,0,12,9,6,538,braid,23640,2165,0,0.1,0.36,0.35,0.14,0.03,0,3.632653061,0.951773373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2022/12/8,0,12,8,5,537,infer,21199,1863,0,0.03,0.19,0.33,0.26,0.14,0.03,4.387755102,1.130582774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/12/7,0,12,7,4,536,joust,24899,2388,0,0.06,0.29,0.34,0.21,0.08,0.02,4.02,1.113373253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2022/12/6,0,12,6,3,535,amber,23509,2261,0,0.06,0.22,0.33,0.24,0.12,0.03,4.23,1.181989848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/12/5,0,12,5,2,534,woken,23153,2200,0,0.02,0.1,0.25,0.36,0.23,0.04,4.8,1.086278049,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
