Word   ,Date       ,Contest number ,Number of  reported results ,Number in hard mode ,1 try ,2 tries ,3 tries ,4 tries ,5 tries ,6 tries ,7 or more tries (X)
manly  ,2022/12/31,560,20380,1899,0,2,17,37,29,12,2
molar  ,2022/12/30,559,21204,1973,0,4,21,38,26,9,1
havoc  ,2022/12/29,558,20001,1919,0,2,16,38,30,12,2
impel  ,2022/12/28,557,20160,1937,0,3,21,40,25,9,1
condo  ,2022/12/27,556,20879,2012,0,2,17,35,29,14,3
judge  ,2022/12/26,555,20011,2043,0,2,8,16,26,33,14
extra  ,2022/12/25,554,15554,1562,1,5,20,35,28,10,1
poise  ,2022/12/24,553,20281,1911,2,11,34,32,15,6,1
aorta  ,2022/12/23,552,21937,2112,0,7,26,35,20,10,3
excel  ,2022/12/22,551,20490,2034,0,1,13,34,34,15,2
lunar  ,2022/12/21,550,22180,2036,0,5,32,40,17,4,0
third  ,2022/12/20,549,24137,2261,1,10,47,32,9,2,0
slate  ,2022/12/19,548,26010,2422,6,14,33,27,13,5,1
taper  ,2022/12/18,547,22166,2108,0,8,28,30,20,11,3
chord  ,2022/12/17,546,22336,2088,0,7,39,38,13,3,0
rprobe ,2022/12/16,545,22853,2160,0,6,24,32,24,11,3
rival  ,2022/12/15,544,22176,2127,0,7,27,35,22,8,1
usual  ,2022/12/14,543,20824,2048,0,3,20,39,27,10,1
spoke  ,2022/12/13,542,24101,2224,0,6,31,38,19,5,0
apply  ,2022/12/12,541,22873,2150,0,5,28,38,22,7,1
naïve  ,2022/12/11,540,21947,2075,1,7,24,32,24,11,1
knock  ,2022/12/10,539,21157,2041,0,3,18,43,27,8,1
braid  ,2022/12/9,538,23640,2165,0,10,36,35,14,3,0
infer  ,2022/12/8,537,21199,1863,0,3,19,33,26,14,3
joust  ,2022/12/7,536,24899,2388,0,6,29,34,21,8,2
amber  ,2022/12/6,535,23509,2261,0,6,22,33,24,12,3
woken  ,2022/12/5,534,23153,2200,0,2,10,25,36,23,4
adore  ,2022/12/4,533,25577,2398,2,17,32,29,15,5,1
torso  ,2022/12/3,532,23873,2260,0,4,35,36,17,6,1
chafe  ,2022/12/2,531,24646,2343,0,6,30,33,19,9,2
eject  ,2022/12/1,530,22628,2200,0,2,11,35,36,14,2
study  ,2022/11/30,529,2569,2405,0,6,30,33,19,10,2
undue  ,2022/11/29,528,23739,2316,0,3,19,35,29,13,2
