Word,Date,Month,Day,WeekNum,Contest number,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
manly,2022/12/31,12,31,7,560,20380,1899,0,2,17,37,29,12,2
molar,2022/12/30,12,30,6,559,21204,1973,0,4,21,38,26,9,1
havoc,2022/12/29,12,29,5,558,20001,1919,0,2,16,38,30,12,2
impel,2022/12/28,12,28,4,557,20160,1937,0,3,21,40,25,9,1
condo,2022/12/27,12,27,3,556,20879,2012,0,2,17,35,29,14,3
judge,2022/12/26,12,26,2,555,20011,2043,0,2,8,16,26,33,14
extra,2022/12/25,12,25,1,554,15554,1562,1,5,20,35,28,10,1
poise,2022/12/24,12,24,7,553,20281,1911,2,11,34,32,15,6,1
aorta,2022/12/23,12,23,6,552,21937,2112,0,7,26,35,20,10,3
excel,2022/12/22,12,22,5,551,20490,2034,0,1,13,34,34,15,2
lunar,2022/12/21,12,21,4,550,22180,2036,0,5,32,40,17,4,0
third,2022/12/20,12,20,3,549,24137,2261,1,10,47,32,9,2,0
slate,2022/12/19,12,19,2,548,26010,2422,6,14,33,27,13,5,1
taper,2022/12/18,12,18,1,547,22166,2108,0,8,28,30,20,11,3
chord,2022/12/17,12,17,7,546,22336,2088,0,7,39,38,13,3,0
rprobe,2022/12/16,12,16,6,545,22853,2160,0,6,24,32,24,11,3
rival,2022/12/15,12,15,5,544,22176,2127,0,7,27,35,22,8,1
usual,2022/12/14,12,14,4,543,20824,2048,0,3,20,39,27,10,1
spoke,2022/12/13,12,13,3,542,24101,2224,0,6,31,38,19,5,0
apply,2022/12/12,12,12,2,541,22873,2150,0,5,28,38,22,7,1
naïve,2022/12/11,12,11,1,540,21947,2075,1,7,24,32,24,11,1
knock,2022/12/10,12,10,7,539,21157,2041,0,3,18,43,27,8,1
braid,2022/12/9,12,9,6,538,23640,2165,0,10,36,35,14,3,0
infer,2022/12/8,12,8,5,537,21199,1863,0,3,19,33,26,14,3
joust,2022/12/7,12,7,4,536,24899,2388,0,6,29,34,21,8,2
amber,2022/12/6,12,6,3,535,23509,2261,0,6,22,33,24,12,3
woken,2022/12/5,12,5,2,534,23153,2200,0,2,10,25,36,23,4
adore,2022/12/4,12,4,1,533,25577,2398,2,17,32,29,15,5,1
torso,2022/12/3,12,3,7,532,23873,2260,0,4,35,36,17,6,1
chafe,2022/12/2,12,2,6,531,24646,2343,0,6,30,33,19,9,2
eject,2022/12/1,12,1,5,530,22628,2200,0,2,11,35,36,14,2
study,2022/11/30,11,30,4,529,2569,2405,0,6,30,33,19,10,2
undue,2022/11/29,11,29,3,528,23739,2316,0,3,19,35,29,13,2
tepid,2022/11/28,11,28,2,527,26051,2484,0,10,38,35,13,3,0
happy,2022/11/27,11,27,1,526,25206,2356,0,6,28,39,19,6,1
clen,2022/11/26,11,26,7,525,26381,2424,1,17,36,31,12,3,0
itchy,2022/11/25,11,25,6,524,24197,2329,0,8,28,40,18,5,1
feast,2022/11/24,11,24,5,523,27705,2725,5,13,25,27,19,10,2
drive,2022/11/23,11,23,4,522,26663,2451,1,12,32,30,18,6,1
prime,2022/11/22,11,22,3,521,27437,2534,1,10,26,32,21,9,1
axiom,2022/11/21,11,21,2,520,24288,2382,0,5,19,33,27,13,3
brave,2022/11/20,11,20,1,519,24991,2396,1,6,17,27,27,18,5
avert,2022/11/19,11,19,7,518,24749,2400,0,7,26,35,22,9,1
glyph,2022/11/18,11,18,6,517,29208,2899,0,2,23,49,20,5,1
there,2022/11/17,11,17,5,516,27465,2530,0,14,35,33,14,4,0
baker,2022/11/16,11,16,4,515,25576,2541,0,5,16,23,24,22,10
snarl,2022/11/15,11,15,3,514,27475,2650,0,5,21,31,24,15,4
maple,2022/11/14,11,14,2,513,26536,2467,1,6,26,36,21,8,1
inane,2022/11/13,11,13,1,512,25085,2515,0,8,25,30,21,13,3
valet,2022/11/12,11,12,7,511,24660,2356,0,4,22,38,25,9,1
medal,2022/11/11,11,11,6,510,25993,2438,0,5,25,38,23,8,1
unite,2022/11/10,11,10,5,509,27467,2575,1,11,31,33,18,5,1
rainy,2022/11/9,11,9,4,508,28984,2678,1,16,38,31,11,3,1
spell,2022/11/8,11,8,3,507,27213,2531,0,4,24,37,24,9,1
begin,2022/11/7,11,7,2,506,26096,2439,0,6,26,36,23,7,1
stale,2022/11/6,11,6,1,505,31068,3013,2,19,30,27,15,6,2
dream,2022/11/5,11,5,7,504,29743,2751,5,14,31,29,15,4,1
photo,2022/11/4,11,4,6,503,27330,2565,0,5,34,43,15,3,0
aloud,2022/11/3,11,3,5,502,29554,2819,1,18,31,30,15,4,1
inept,2022/11/2,11,2,4,501,27670,2640,0,6,30,39,20,6,1
piney,2022/11/1,11,1,3,500,27502,3667,0,1,14,37,33,14,2
aptly,2022/10/31,10,31,2,499,26498,2572,0,3,26,41,23,7,1
waltz,2022/10/30,10,30,1,498,24672,2496,0,2,11,29,35,19,3
libel,2022/10/29,10,29,7,497,25156,2536,0,3,15,32,32,16,2
sneak,2022/10/28,10,28,6,496,27905,2636,0,7,28,36,21,7,1
carry,2022/10/27,10,27,5,495,27609,2615,0,4,22,35,24,12,3
flout,2022/10/26,10,26,4,494,30063,2904,0,6,28,37,21,7,1
foggy,2022/10/25,10,25,3,493,28953,2817,0,2,13,35,32,15,3
