Date,isHoliday,Month,Day,WeekNum,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Average,Sigma
2023/1/1,2,13,1,1,561,whine,22072,2132,0,4,27,41,22,6,1,406,100
2023/1/2,2,13,2,2,562,skirt,22252,2094,0,6,31,39,19,5,0,386,101
2023/1/3,2,13,3,3,563,antic,22108,2072,0,7,32,37,18,5,0,378,102
2023/1/4,0,13,4,4,564,layer,22394,2207,0,5,18,25,22,19,11,465,103
2023/1/5,0,13,5,5,565,sleek,22283,2078,0,3,22,42,25,7,1,414,104
2023/1/6,0,13,6,6,566,belie,19725,1936,0,1,12,33,33,17,3,458,105
2023/1/7,0,13,7,7,567,lemon,21946,2072,1,8,29,37,19,6,1,390,106
2023/1/8,0,13,8,1,568,opera,21510,2054,2,10,29,33,20,6,1,384,107
2023/1/9,0,13,9,2,569,pixie,20248,2049,0,2,12,30,34,18,4,466,108
2023/1/10,0,13,10,3,570,girmy,22248,2157,0,2,19,40,28,9,1,422,109
2023/1/11,0,13,11,4,571,sedan,22194,2128,0,8,38,35,14,4,0,364,110
2023/1/12,0,13,12,5,572,leapt,22606,2218,0,6,28,35,22,7,1,395,111
2023/1/13,0,13,13,6,573,human,20879,2057,1,5,31,41,17,4,0,377,112
2023/1/14,0,13,14,7,574,koala,19542,1921,0,2,17,38,29,12,2,438,113
2023/1/15,0,13,15,1,575,spire,24058,2310,1,15,36,26,14,7,2,369,114
2023/1/16,0,13,16,2,576,forck,22147,2131,0,3,24,37,25,10,1,418,115
2023/1/17,0,13,17,3,577,adopt,21946,2081,0,9,33,35,17,5,0,372,116
2023/1/18,0,13,18,4,578,chard,22775,2176,0,5,25,37,22,9,2,411,117
2023/1/19,0,13,19,5,579,mucky,22670,2186,0,1,14,38,29,15,3,452,118
2023/1/20,0,13,20,6,580,alter,22818,2158,1,11,30,32,18,7,1,380,119
2023/1/21,0,13,21,7,581,blurb,20481,1948,0,1,14,41,31,11,1,436,120
2023/1/22,0,13,22,1,582,matey,20862,1961,0,2,15,35,33,14,2,452,121
2023/1/23,0,13,23,2,583,elude,20894,1998,0,2,18,36,31,12,1,436,122
2023/1/24,0,13,24,3,584,count,23047,2135,1,8,35,36,15,4,0,365,123
2023/1/25,0,13,25,4,585,maize,21153,2060,0,7,18,27,26,17,4,436,124
2023/1/26,0,13,26,5,586,beefy,20598,1983,0,1,10,35,35,16,3,464,125
2023/1/27,0,13,27,6,587,worry,20810,1974,0,3,19,35,27,14,3,443,126
2023/1/28,0,13,28,7,588,flirt,21916,2036,0,9,39,36,13,3,0,362,127
2023/1/29,0,13,29,1,589,fishy,21115,2032,0,4,28,38,21,7,1,398,128
2023/1/30,0,13,30,2,590,crave,22538,2148,1,7,18,26,24,18,6,443,129
2023/2/1,0,14,1,4,592,scold,21569,2039,0,6,36,36,17,5,1,386,130
2023/2/2,0,14,2,5,593,shink,21960,2082,0,5,33,38,18,5,1,388,131
2023/2/3,0,14,3,6,594,tasty,21485,2058,0,7,24,30,23,12,4,421,132
2023/2/4,0,14,4,7,595,unlit,20283,1962,0,3,25,40,24,8,1,416,133
2023/2/5,0,14,5,1,596,dance,21678,2059,1,12,34,34,15,4,0,362,134
2023/2/6,0,14,6,2,597,ninth,20174,1949,0,2,18,37,29,13,2,443,135
2023/2/7,0,14,7,3,598,apple,22817,2079,1,14,31,29,18,7,1,377,136
2023/2/8,0,14,8,4,599,flail,20439,2001,0,2,16,38,30,12,2,440,137
2023/2/9,0,14,9,5,600,stage,23815,2322,1,9,20,24,22,18,7,442,138
2023/2/10,0,14,10,6,601,heady,21351,2003,0,4,24,40,24,7,1,409,139
2023/2/11,0,14,11,7,602,debug,19341,1926,0,2,16,37,31,13,1,440,140
2023/2/12,0,14,12,1,603,giant,20926,1990,1,8,38,36,14,3,0,363,141
2023/2/13,0,14,13,2,604,usage,20060,1889,0,4,32,39,19,6,1,398,142
2023/2/14,0,14,14,3,605,sound,23229,2223,1,13,33,26,14,8,4,376,143
2023/2/15,0,14,15,4,606,salsa,20108,1994,0,2,14,34,32,14,2,440,144
2023/2/16,0,14,16,5,607,magic,20556,1969,1,5,27,40,21,6,1,400,145
2023/2/18,0,14,18,7,609,avail,18586,1890,0,3,18,33,29,14,2,435,146
