Epoch, Loss
1, 5.0440e-01
2, 4.7674e-01
3, 5.0939e-01
4, 5.2080e-01
5, 5.1079e-01
6, 4.7527e-01
7, 4.9101e-01
8, 5.3893e-01
9, 4.6766e-01
10, 4.6802e-01
11, 4.9249e-01
12, 4.6328e-01
13, 4.7149e-01
14, 4.7200e-01
15, 4.7439e-01
16, 4.7800e-01
17, 5.0303e-01
18, 4.9284e-01
19, 4.4875e-01
20, 4.3735e-01
21, 4.3245e-01
22, 4.5422e-01
23, 4.4767e-01
24, 4.2720e-01
25, 4.5004e-01
26, 4.3226e-01
27, 3.8770e-01
28, 4.6860e-01
29, 4.2580e-01
30, 4.2598e-01
31, 4.3453e-01
32, 4.0767e-01
33, 4.0857e-01
34, 3.9861e-01
35, 3.7012e-01
36, 4.2729e-01
37, 3.9573e-01
38, 3.9188e-01
39, 3.8610e-01
40, 3.7928e-01
41, 3.9625e-01
42, 3.8780e-01
43, 3.6554e-01
44, 3.7176e-01
45, 4.1128e-01
46, 4.3266e-01
47, 3.7244e-01
48, 3.6109e-01
49, 4.0652e-01
50, 3.6537e-01
51, 3.6598e-01
52, 3.8125e-01
53, 3.9912e-01
54, 3.6507e-01
55, 3.6993e-01
56, 3.8019e-01
57, 3.8057e-01
58, 4.3461e-01
59, 3.5295e-01
60, 4.1830e-01
61, 3.7445e-01
62, 3.8052e-01
63, 3.8405e-01
64, 3.6854e-01
65, 4.0220e-01
66, 4.0672e-01
67, 3.8464e-01
68, 3.7414e-01
69, 3.6094e-01
70, 3.5967e-01
71, 3.8689e-01
72, 3.8432e-01
73, 3.5290e-01
74, 3.7610e-01
75, 4.4149e-01
76, 3.3407e-01
77, 3.5409e-01
78, 3.5184e-01
79, 3.9971e-01
80, 3.4224e-01
81, 3.6165e-01
82, 3.5162e-01
83, 3.7941e-01
84, 3.8322e-01
85, 3.8615e-01
86, 3.5559e-01
87, 3.7423e-01
88, 3.8285e-01
89, 3.6100e-01
90, 3.7494e-01
91, 3.4618e-01
92, 3.6368e-01
93, 3.8555e-01
94, 3.9421e-01
95, 3.5900e-01
96, 3.9133e-01
97, 3.6069e-01
98, 3.7609e-01
99, 3.6424e-01
100, 3.8331e-01
101, 3.7118e-01
102, 3.7961e-01
103, 3.2439e-01
104, 3.8293e-01
105, 3.6363e-01
106, 4.0493e-01
107, 3.6069e-01
108, 3.8063e-01
109, 3.6472e-01
110, 3.6706e-01
111, 4.0244e-01
112, 3.9426e-01
113, 3.6150e-01
114, 3.6822e-01
115, 4.0310e-01
116, 3.6641e-01
117, 3.4246e-01
118, 3.8531e-01
119, 3.4735e-01
120, 3.7316e-01
121, 3.8890e-01
122, 3.8017e-01
123, 3.8294e-01
124, 3.7118e-01
125, 3.6759e-01
126, 3.8157e-01
127, 3.7409e-01
128, 3.4443e-01
129, 3.4025e-01
130, 3.6047e-01
131, 4.0847e-01
132, 3.6378e-01
133, 3.6870e-01
134, 3.6205e-01
135, 3.3244e-01
136, 4.0420e-01
137, 3.5034e-01
138, 3.6685e-01
139, 4.0601e-01
140, 3.4136e-01
141, 3.8210e-01
142, 3.6159e-01
143, 3.4093e-01
144, 3.2850e-01
145, 3.4148e-01
146, 3.3062e-01
147, 3.7818e-01
148, 3.4328e-01
149, 3.3866e-01
150, 3.3456e-01
151, 3.4738e-01
152, 3.4052e-01
153, 3.8379e-01
154, 3.3786e-01
155, 3.2707e-01
156, 3.6312e-01
157, 3.6390e-01
158, 3.3777e-01
159, 3.7414e-01
160, 3.7977e-01
161, 3.7702e-01
162, 3.4429e-01
163, 3.7367e-01
164, 3.7499e-01
165, 3.5071e-01
166, 3.4669e-01
167, 3.8683e-01
168, 3.7934e-01
169, 3.7877e-01
170, 3.4682e-01
171, 3.6854e-01
172, 3.6584e-01
173, 3.5352e-01
174, 3.5699e-01
175, 4.3111e-01
176, 3.6568e-01
177, 3.9264e-01
178, 3.4909e-01
179, 3.7201e-01
180, 3.5217e-01
181, 3.7006e-01
182, 3.5176e-01
183, 3.4645e-01
184, 3.8159e-01
185, 3.4416e-01
186, 3.1078e-01
187, 3.4619e-01
188, 3.4858e-01
189, 3.6878e-01
190, 3.6163e-01
191, 3.5230e-01
192, 3.5634e-01
193, 3.3091e-01
194, 3.4452e-01
195, 3.3277e-01
196, 3.3714e-01
197, 3.3652e-01
198, 3.4691e-01
199, 3.5345e-01
200, 3.5741e-01
201, 3.4165e-01
202, 3.3226e-01
203, 3.5675e-01
204, 3.3279e-01
205, 3.5565e-01
206, 3.4989e-01
207, 3.5264e-01
208, 3.7971e-01
209, 3.6003e-01
210, 3.2994e-01
211, 3.2606e-01
212, 3.1723e-01
213, 3.2987e-01
214, 3.5015e-01
215, 3.5396e-01
216, 3.1227e-01
217, 3.2090e-01
218, 2.9592e-01
219, 3.1760e-01
220, 3.5851e-01
221, 3.5092e-01
222, 3.6883e-01
223, 3.0530e-01
224, 3.5774e-01
225, 3.3203e-01
226, 3.5918e-01
227, 3.4020e-01
228, 3.2881e-01
229, 3.4084e-01
230, 3.4680e-01
231, 3.3814e-01
232, 3.1818e-01
233, 3.2269e-01
234, 3.3101e-01
235, 3.3911e-01
236, 3.4640e-01
237, 3.5803e-01
238, 3.6544e-01
239, 2.9730e-01
240, 3.4272e-01
241, 3.4475e-01
242, 3.2135e-01
243, 3.0608e-01
244, 3.6735e-01
245, 3.4665e-01
246, 3.3373e-01
247, 3.3271e-01
248, 3.2631e-01
249, 3.5545e-01
250, 3.1621e-01
251, 3.4148e-01
252, 3.3301e-01
253, 3.2264e-01
254, 3.4105e-01
255, 3.3604e-01
256, 3.4813e-01
257, 3.2613e-01
258, 3.3084e-01
259, 3.3211e-01
260, 3.3820e-01
261, 3.5251e-01
262, 3.2982e-01
263, 3.2818e-01
264, 3.4551e-01
265, 2.9770e-01
266, 3.1365e-01
267, 3.3278e-01
268, 3.4417e-01
269, 3.4831e-01
270, 3.2269e-01
271, 3.1252e-01
272, 3.3196e-01
273, 3.3866e-01
274, 3.2731e-01
275, 2.9846e-01
276, 2.9445e-01
277, 3.3710e-01
278, 3.3408e-01
279, 3.3063e-01
280, 3.3775e-01
281, 3.5275e-01
282, 3.3662e-01
283, 3.1164e-01
284, 3.5646e-01
285, 3.2554e-01
286, 3.5860e-01
287, 3.1893e-01
288, 3.1563e-01
289, 3.4132e-01
290, 3.2411e-01
291, 3.3138e-01
292, 2.9748e-01
293, 3.2063e-01
294, 3.0162e-01
295, 2.8940e-01
296, 3.1356e-01
297, 2.8602e-01
298, 3.1206e-01
299, 3.0310e-01
300, 3.2663e-01
301, 3.0353e-01
302, 3.1160e-01
303, 3.5268e-01
304, 3.0917e-01
305, 3.3021e-01
306, 3.4153e-01
307, 3.1392e-01
308, 3.2096e-01
309, 3.0856e-01
310, 3.0496e-01
311, 3.3184e-01
312, 2.9350e-01
313, 3.1780e-01
314, 2.8953e-01
315, 3.3596e-01
316, 3.2944e-01
317, 3.5067e-01
318, 3.2591e-01
319, 3.4620e-01
320, 3.0570e-01
321, 3.3345e-01
322, 3.1432e-01
323, 3.1939e-01
324, 3.1572e-01
325, 3.4455e-01
326, 3.4557e-01
327, 3.2196e-01
328, 3.3520e-01
329, 3.0451e-01
330, 3.4489e-01
331, 3.2717e-01
332, 3.1025e-01
333, 3.4628e-01
334, 3.0965e-01
335, 3.2371e-01
336, 3.1657e-01
337, 3.1680e-01
338, 3.4578e-01
339, 3.3242e-01
340, 3.1212e-01
341, 2.8337e-01
342, 2.8949e-01
343, 3.0067e-01
344, 3.2012e-01
345, 2.9091e-01
346, 3.2269e-01
347, 3.2214e-01
348, 3.0176e-01
349, 3.2165e-01
350, 3.3476e-01
351, 2.9848e-01
352, 2.9359e-01
353, 3.1180e-01
354, 2.7652e-01
355, 2.9741e-01
356, 3.4212e-01
357, 3.1923e-01
358, 3.2219e-01
359, 3.2432e-01
360, 3.1803e-01
361, 3.2741e-01
362, 3.1102e-01
363, 3.3012e-01
364, 4.3126e-01
365, 3.1125e-01
366, 3.2614e-01
367, 3.0124e-01
368, 3.3920e-01
369, 3.1937e-01
370, 2.7320e-01
371, 2.9628e-01
372, 3.4613e-01
373, 3.0637e-01
374, 3.0628e-01
375, 2.8398e-01
376, 2.6961e-01
377, 3.0825e-01
378, 3.1011e-01
379, 3.2835e-01
380, 3.0074e-01
381, 3.1699e-01
382, 3.0405e-01
383, 3.4396e-01
384, 2.8523e-01
385, 3.0309e-01
386, 3.0172e-01
387, 3.2700e-01
388, 3.7163e-01
389, 3.4309e-01
390, 3.1061e-01
391, 2.9080e-01
392, 2.9726e-01
393, 3.1966e-01
394, 3.3132e-01
395, 2.9466e-01
396, 2.9911e-01
397, 3.3877e-01
398, 2.9653e-01
399, 3.0757e-01
400, 3.1659e-01
401, 3.3993e-01
402, 3.0421e-01
403, 3.1166e-01
404, 3.0392e-01
405, 3.4347e-01
