Average,Sigma
3.8816369,1.0523256
4.107683,1.1118366
4.0903864,1.1092187
4.582698,1.20518
3.9496932,1.0599444
3.91812,1.0537484
3.9501443,1.063047
3.7869816,1.0186352
3.9663382,1.0617343
4.3506913,1.1448963
4.033704,1.0788401
3.718563,1.0055578
4.046445,1.085088
4.11913,1.1005633
3.8917613,1.0458974
4.3501997,1.145992
3.7653284,1.0155278
3.808058,1.0271431
4.1379895,1.1021105
4.221882,1.1218797
3.874613,1.0444659
4.4200144,1.163027
4.262631,1.1281391
4.058949,1.086948
4.316675,1.1385232
4.054042,1.0856612
4.2143526,1.1193837
3.7463238,1.0162381
3.8846738,1.0464418
4.585217,1.2056606
4.1014924,1.0965215
3.6274393,0.98482597
3.9516015,1.0637249
3.8508508,1.0413088
4.3869786,1.1546986
4.1625113,1.1090089
3.8824356,1.0434008
3.8786674,1.0438137
4.0611367,1.0884936
3.9587345,1.0647017
3.9290774,1.0589151
4.0931897,1.0957663
4.1892214,1.1148267
4.3873496,1.1543213
4.1552377,1.1072655
3.8900168,1.0472895
4.016892,1.0805187
