Number of reported results,Number in hard mode
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
34393.285,2854.4434
