Average,Sigma
-0.7885778,-0.569844
-0.21666682,-0.047579695
-0.2604283,-0.07055383
0.98514915,0.77159595
-0.61639094,-0.502982
-0.69627327,-0.5573579
-0.6152495,-0.47575265
-1.0280608,-0.8655087
-0.57427806,-0.48727384
0.3981586,0.24254963
-0.40383965,-0.33715358
-1.2011639,-0.98027456
-0.37160403,-0.28232345
-0.1877051,-0.14651322
-0.762962,-0.6262576
0.3969147,0.2521663
-1.0828452,-0.89277816
-0.9747362,-0.79084307
-0.13999057,-0.13293502
0.07226302,0.040557653
-0.8063482,-0.6388199
0.57355005,0.40166456
0.1753597,0.09549018
-0.33996785,-0.26599935
0.31209475,0.1866205
-0.35238314,-0.27729362
0.053212494,0.018653505
-1.1309278,-0.8865453
-0.7808939,-0.62148005
0.99152184,0.7758131
-0.23232982,-0.18198338
-1.4317126,-1.1622158
-0.61156297,-0.46980423
-0.8664682,-0.6665267
0.48996717,0.32857403
-0.07794851,-0.072394624
-0.7865568,-0.64816755
-0.79609096,-0.6445439
-0.3344319,-0.2524364
-0.5935159,-0.46123174
-0.66855,-0.51201475
-0.25333616,-0.18861085
-0.010369897,-0.021338318
0.49090528,0.32526362
-0.09635118,-0.087694936
-0.76737595,-0.61404
-0.44637412,-0.32242277
