,predicted_mean
298,198221.43734935977
299,200432.51636872042
300,207918.19097710826
301,203492.3490009384
302,204624.8194154717
303,202253.57189788317
304,203119.08990940693
305,204369.7536018312
306,203295.88277031918
307,204179.98232845668
308,203134.19050046967
309,203686.69239112054
310,203671.3689591212
311,203524.68191779323
312,203804.63430897344
313,203442.62621123978
314,203708.5280131103
315,203572.54708312821
316,203617.59098625602
317,203658.04882838408
318,203564.17345171355
319,203660.12427358117
320,203584.92420126044
321,203631.63729371608
322,203618.12185591867
323,203605.7630353409
324,203630.64613727323
325,203603.12690142167
326,203626.0472977143
327,203612.3442967237
328,203616.5455170289
329,203619.45732681366
330,203612.44149455463
331,203620.4864442593
332,203613.83539553903
333,203617.9266906825
334,203616.51648478088
335,203615.77841681588
336,203617.76041717702
337,203615.45830347302
338,203617.40537345334
339,203616.17308866183
340,203616.62210220023
341,203616.8033950281
342,203616.2512243349
343,203616.91300643634
344,203616.34246364346
345,203616.71032479225
346,203616.56793271704
347,203616.52582721194
348,203616.67990189456
349,203616.48985256354
350,203616.65647387443
351,203616.5466950317
352,203616.5915931266
353,203616.60085759565
354,203616.55800674375
355,203616.61246243963
356,203616.56382563006
357,203616.59653853942
358,203616.58250053602
