word,week,month,date,th,sh,ch,er,ing,ou,en,ai,kn,ph,wr,qu,rate
manly,6,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0.093179588
molar,5,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0.093048481
havoc,4,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0.095945203
impel,3,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0.096081349
condo,2,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0.096364768
judge,1,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0.102093848
extra,7,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0.100424328
poise,6,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0.094226123
aorta,5,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0.096275699
excel,4,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0.099267936
lunar,3,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0.091794409
third,2,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0.093673613
slate,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0.093118032
taper,7,12,18,0,0,0,1,0,0,0,0,0,0,0,0,0.095100605
chord,6,12,17,0,0,1,0,0,0,0,0,0,0,0,0,0.093481375
rprobe,5,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0.094517131
rival,4,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0.095914502
usual,3,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0.09834806
spoke,2,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0.092278329
apply,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.093997289
na?ve,7,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0.094545952
knock,6,12,10,0,0,0,0,0,0,0,0,1,0,0,0,0.096469254
braid,5,12,9,0,0,0,0,0,0,0,1,0,0,0,0,0.091582064
infer,4,12,8,0,0,0,1,0,0,0,0,0,0,0,0,0.087881504
joust,3,12,7,0,0,0,0,0,1,0,0,0,0,0,0,0.095907466
amber,2,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0.096175933
woken,1,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0.095020084
adore,7,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0.093756109
torso,6,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0.094667616
chafe,5,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0.095066136
eject,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0.097224677
study,3,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0.09358705
undue,2,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0.097560976
tepid,1,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0.095351426
happy,7,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0.093469809
clen,6,11,26,0,0,0,0,0,0,1,0,0,0,0,0,0.091884311
